PartNumber,PartDescription,Brand,Size,BoltPattern,Offset,MSRP_USD,MAP_USD,Finish,TIS_Comparable_MAP,Price_Difference,Match_Type
D76217908445,CLASH 17X9 6X5.5 106.1 MBT -12MM,Fuel 1PC,17X9,6X5.5,-12,320.00,320.00 ,Matte Black w/ Dark Tint,398.00,-78.00,exact
D76217908450,CLASH 17X9 6X5.5 106.1 MBT 01MM,Fuel 1PC,17X9,6X5.5,1,320.00,320.00 ,Matte Black w/ Dark Tint,398.00,-78.00,exact
D76217908750,CLASH 17X9 6X4.5 66.3 MBT 01MM,Fuel 1PC,17X9,6X4.5,1,320.00,320.00 ,Matte Black w/ Dark Tint,398.00,-78.00,exact
D76218908445,CLASH 18X9 6X5.5 106.1 MBT -12MM,Fuel 1PC,18X9,6X5.5,-12,370.00,370.00 ,Matte Black w/ Dark Tint,446.54,-76.54,size-avg
D76218908450,CLASH 18X9 6X5.5 106.1 MBT 01MM,Fuel 1PC,18X9,6X5.5,1,370.00,370.00 ,Matte Black w/ Dark Tint,446.54,-76.54,size-avg
D76218908945,CLASH 18X9 6X135 87.1 MBT -12MM,Fuel 1PC,18X9,6X135,-12,370.00,370.00 ,Matte Black w/ Dark Tint,446.54,-76.54,size-avg
D76218909450,CLASH 18X9 6X120 67.06 MBT 01MM,Fuel 1PC,18X9,6X120,1,370.00,370.00 ,Matte Black w/ Dark Tint,446.54,-76.54,size-avg
D76220001747,CLASH 8 20X10 8X170 125 MBT -18,Fuel 1PC,20X10,8X170,-18,460.00,460.00 ,Matte Black w/ Dark Tint,464.67,-4.67,exact
D76220001847,CLASH 8 20X10 8X180 124 MBT -18,Fuel 1PC,20X10,8X180,-18,460.00,460.00 ,Matte Black w/ Dark Tint,464.67,-4.67,exact
D76220008447,CLASH 20X10 6X5.5 106.1 MBT -18MM,Fuel 1PC,20X10,6X5.5,-18,460.00,460.00 ,Matte Black w/ Dark Tint,464.67,-4.67,exact
D76220008947,CLASH 20X10 6X135 87.1 MBT -18MM,Fuel 1PC,20X10,6X135,-18,460.00,460.00 ,Matte Black w/ Dark Tint,464.67,-4.67,exact
D76220901750,CLASH 8 20X9 8X170 125 MBT +01,Fuel 1PC,20X9,8X170,1,435.00,435.00 ,Matte Black w/ Dark Tint,478.00,-43.00,exact
D76220901757,CLASH 8 20X9 8X170 125 MBT +20,Fuel 1PC,20X9,8X170,20,435.00,435.00 ,Matte Black w/ Dark Tint,478.00,-43.00,exact
D76220901850,CLASH 8 20X9 8X180 124 MBT +01,Fuel 1PC,20X9,8X180,1,435.00,435.00 ,Matte Black w/ Dark Tint,478.00,-43.00,exact
D76220901857,CLASH 8 20X9 8X180 124 MBT +20,Fuel 1PC,20X9,8X180,20,435.00,435.00 ,Matte Black w/ Dark Tint,478.00,-43.00,exact
D76220908450,CLASH 20X9 6X5.5 106.1 MBT 01MM,Fuel 1PC,20X9,6X5.5,1,435.00,435.00 ,Matte Black w/ Dark Tint,478.00,-43.00,exact
